origin,destination,volume,,Origin(total),Volume(total),,x,y
06001,17105,16,,,,,,
06001,17111,13,,,,,,
06001,17143,30,,,,,,
06001,17167,24,,,,,,
06001,17177,20,,,,,,
06001,17179,25,,,,,,
06001,17197,187,,,,,,
06001,17201,32,,,,,,
06001,18003,231,,,,,,
06001,18005,32,,,,,,
06001,18011,16,,,,,,
06001,18057,71,,,,,,
06001,18081,38,,,,,,
06001,18095,6,,,,,,
06001,18097,104,,,,,,
06001,18105,40,,,,,,
06001,18141,101,,,,,,
06001,18157,80,,,,,,
06001,18181,18,,,,,,
06001,19047,9,,,,,,
06001,19061,8,,,,,,
06001,19103,197,,,,,,
06001,19153,44,,,,,,
06001,19155,24,,,,,,
06001,19157,42,,,,,,
06001,19169,66,,,,,,
06001,19185,10,,,,,,
06001,19193,8,,,,,,
06001,20091,89,,,,,,
06001,20125,6,,,,,,
06001,20173,29,,,,,,
06001,20181,2,,,,,,
06001,20209,38,,,,,,
06001,21059,51,,,,,,
06001,21067,70,,,,,,
06001,21111,73,,,,,,
06001,21227,39,,,,,,
06001,22013,19,,,,,,
06001,22017,28,,,,,,
06001,22019,6,,,,,,
06001,22033,83,,,,,,
06001,22049,3,,,,,,
06001,22069,13,,,,,,
06001,22071,247,,,,,,
06001,22073,47,,,,,,
06001,22075,65,,,,,,
06001,22095,2,,,,,,
06001,22103,3,,,,,,
06001,22109,12,,,,,,
06001,23005,179,,,,,,
06001,23009,9,,,,,,
06001,23011,51,,,,,,
06001,23029,11,,,,,,
06001,24003,17,,,,,,
06001,24005,37,,,,,,
06001,24009,12,,,,,,
06001,24013,10,,,,,,
06001,24019,102,,,,,,
06001,24021,128,,,,,,
06001,24025,7,,,,,,
06001,24027,117,,,,,,
06001,24031,305,,,,,,
06001,24033,82,,,,,,
06001,24037,69,,,,,,
06001,24043,16,,,,,,
06001,24510,185,,,,,,
06001,25001,8,,,,,,
06001,25005,49,,,,,,
06001,25009,12,,,,,,
06001,25011,23,,,,,,
06001,25013,3,,,,,,
06001,25015,94,,,,,,
06001,25017,800,,,,,,
06001,25021,26,,,,,,
06001,25025,551,,,,,,
06001,25027,75,,,,,,
06001,26021,46,,,,,,
06001,26035,18,,,,,,
06001,26049,29,,,,,,
06001,26055,54,,,,,,
06001,26059,18,,,,,,
06001,26065,18,,,,,,
06001,26069,8,,,,,,
06001,26075,40,,,,,,
06001,26077,9,,,,,,
06001,26081,56,,,,,,
06001,26099,25,,,,,,
06001,26103,18,,,,,,
06001,26115,21,,,,,,
06001,26125,202,,,,,,
06001,26135,10,,,,,,
06001,26139,8,,,,,,
06001,26161,337,,,,,,
06001,26163,236,,,,,,
06001,27003,27,,,,,,
06001,27019,20,,,,,,
06001,27037,52,,,,,,
06001,27053,342,,,,,,
06001,27097,3,,,,,,
06001,27109,21,,,,,,
06001,27115,18,,,,,,
06001,27123,93,,,,,,
06001,27131,6,,,,,,
06001,27137,9,,,,,,
06001,27163,53,,,,,,
06001,27171,60,,,,,,
06001,28021,14,,,,,,
06001,28033,24,,,,,,
06001,28079,15,,,,,,
06001,29021,12,,,,,,
06001,29051,22,,,,,,
06001,29075,8,,,,,,
06001,29095,77,,,,,,
06001,29097,21,,,,,,
06001,29179,25,,,,,,
06001,29183,12,,,,,,
06001,29189,173,,,,,,
06001,29229,9,,,,,,
06001,29510,203,,,,,,
06001,30013,24,,,,,,
06001,30031,30,,,,,,
06001,30041,10,,,,,,
06001,30053,9,,,,,,
06001,30061,5,,,,,,
06001,30063,51,,,,,,
06001,30077,13,,,,,,
06001,30093,22,,,,,,
06001,30111,9,,,,,,
06001,31055,72,,,,,,
06001,31067,43,,,,,,
06001,31109,45,,,,,,
06001,31157,22,,,,,,
06001,32003,"1,302",,,,,,
06001,32005,22,,,,,,
06001,32007,97,,,,,,
06001,32019,63,,,,,,
06001,32021,9,,,,,,
06001,32023,21,,,,,,
06001,32029,15,,,,,,
06001,32031,667,,,,,,
06001,33007,5,,,,,,
06001,33009,43,,,,,,
06001,33011,29,,,,,,
06001,33013,5,,,,,,
06001,33015,61,,,,,,
06001,34001,51,,,,,,
06001,34003,216,,,,,,
06001,34005,19,,,,,,
06001,34007,50,,,,,,
06001,34009,141,,,,,,
06001,34013,178,,,,,,
06001,34017,305,,,,,,
06001,34021,137,,,,,,
06001,34023,261,,,,,,
06001,34025,124,,,,,,
06001,34027,28,,,,,,
06001,34029,134,,,,,,
06001,34031,84,,,,,,
06001,34035,127,,,,,,
06001,34039,39,,,,,,
06001,35001,291,,,,,,
06001,35006,5,,,,,,
06001,35013,50,,,,,,
06001,35049,57,,,,,,
06001,35061,50,,,,,,
06001,36001,44,,,,,,
06001,36005,103,,,,,,
06001,36007,28,,,,,,
06001,36021,20,,,,,,
06001,36027,22,,,,,,
06001,36029,66,,,,,,
06001,36045,12,,,,,,
06001,36047,"1,087",,,,,,
06001,36053,4,,,,,,
06001,36055,72,,,,,,
06001,36057,21,,,,,,
06001,36059,223,,,,,,
06001,36061,885,,,,,,
06001,36067,61,,,,,,
06001,36071,7,,,,,,
06001,36079,23,,,,,,
06001,36081,330,,,,,,
06001,36083,10,,,,,,
06001,36087,65,,,,,,
06001,36089,2,,,,,,
06001,36091,62,,,,,,
06001,36093,6,,,,,,
06001,36101,10,,,,,,
06001,36103,70,,,,,,
06001,36109,200,,,,,,
06001,36111,11,,,,,,
06001,36119,156,,,,,,
06001,37021,29,,,,,,
06001,37025,6,,,,,,
06001,37049,63,,,,,,
06001,37051,27,,,,,,
06001,37063,272,,,,,,
06001,37065,23,,,,,,
06001,37067,89,,,,,,
06001,37071,9,,,,,,
06001,37085,31,,,,,,
06001,37119,163,,,,,,
06001,37135,50,,,,,,
06001,37147,12,,,,,,
06001,37149,52,,,,,,
06001,37159,29,,,,,,
06001,37173,9,,,,,,
06001,37179,13,,,,,,
06001,37183,828,,,,,,
06001,38035,16,,,,,,
06001,38063,4,,,,,,
06001,38101,21,,,,,,
06001,39017,30,,,,,,
06001,39021,9,,,,,,
06001,39035,402,,,,,,
06001,39047,24,,,,,,
06001,39049,256,,,,,,
06001,39061,272,,,,,,
06001,39065,2,,,,,,
06001,39083,41,,,,,,
06001,39093,30,,,,,,
06001,39095,11,,,,,,
06001,39097,4,,,,,,
06001,39099,8,,,,,,
06001,39101,18,,,,,,
06001,39103,18,,,,,,
06001,39113,56,,,,,,
06001,39117,2,,,,,,
06001,39153,118,,,,,,
06001,39165,14,,,,,,
06001,40013,11,,,,,,
06001,40031,23,,,,,,
06001,40105,33,,,,,,
06001,40109,119,,,,,,
06001,40125,1,,,,,,
06001,40133,8,,,,,,
06001,40143,95,,,,,,
06001,41003,160,,,,,,
06001,41005,566,,,,,,
06001,41007,6,,,,,,
06001,41011,113,,,,,,
06001,41015,22,,,,,,
06001,41017,162,,,,,,
06001,41019,17,,,,,,
06001,41027,83,,,,,,
06001,41029,216,,,,,,
06001,41033,47,,,,,,
06001,41035,16,,,,,,
06001,41039,219,,,,,,
06001,41041,3,,,,,,
06001,41045,16,,,,,,
06001,41047,88,,,,,,
06001,41051,"1,298",,,,,,
06001,41053,26,,,,,,
06001,41063,28,,,,,,
06001,41067,249,,,,,,
06001,41071,58,,,,,,
06001,42003,125,,,,,,
06001,42005,7,,,,,,
06001,42011,37,,,,,,
06001,42015,19,,,,,,
06001,42019,2,,,,,,
06001,42027,124,,,,,,
06001,42043,17,,,,,,
06001,42045,68,,,,,,
06001,42071,5,,,,,,
06001,42075,17,,,,,,
06001,42077,45,,,,,,
06001,42091,273,,,,,,
06001,42095,71,,,,,,
06001,42101,374,,,,,,
06001,42107,15,,,,,,
06001,42117,5,,,,,,
06001,42119,7,,,,,,
06001,44003,19,,,,,,
06001,44005,6,,,,,,
06001,44007,88,,,,,,
06001,45019,74,,,,,,
06001,45035,8,,,,,,
06001,45041,48,,,,,,
06001,45045,29,,,,,,
06001,45063,19,,,,,,
06001,45069,19,,,,,,
06001,45079,76,,,,,,
06001,45091,27,,,,,,
06001,46029,79,,,,,,
06001,46083,76,,,,,,
06001,46099,23,,,,,,
06001,46102,4,,,,,,
06001,46103,17,,,,,,
06001,46109,5,,,,,,
06001,47037,90,,,,,,
06001,47061,42,,,,,,
06001,47069,5,,,,,,
06001,47093,22,,,,,,
06001,47103,46,,,,,,
06001,47125,68,,,,,,
06001,47141,32,,,,,,
06001,47157,51,,,,,,
06001,47163,9,,,,,,
06001,47167,21,,,,,,
06001,48029,222,,,,,,
06001,48041,158,,,,,,
06001,48043,28,,,,,,
06001,48057,11,,,,,,
06001,48061,8,,,,,,
06001,48085,272,,,,,,
06001,48091,6,,,,,,
06001,48113,997,,,,,,
06001,48121,390,,,,,,
06001,48139,13,,,,,,
06001,48141,12,,,,,,
06001,48157,242,,,,,,
06001,48167,41,,,,,,
06001,48183,5,,,,,,
06001,48187,37,,,,,,
06001,48201,334,,,,,,
06001,48215,63,,,,,,
06001,48259,15,,,,,,
06001,48303,14,,,,,,
06001,48309,38,,,,,,
06001,48329,80,,,,,,
06001,48339,8,,,,,,
06001,48355,20,,,,,,
06001,48377,1,,,,,,
06001,48397,24,,,,,,
06001,48439,390,,,,,,
06001,48441,45,,,,,,
06001,48453,904,,,,,,
06001,48467,3,,,,,,
06001,48469,6,,,,,,
06001,48479,31,,,,,,
06001,48491,161,,,,,,
06001,49003,5,,,,,,
06001,49005,16,,,,,,
06001,49013,5,,,,,,
06001,49017,29,,,,,,
06001,49029,4,,,,,,
06001,49031,1,,,,,,
06001,49035,658,,,,,,
06001,49039,33,,,,,,
06001,49049,230,,,,,,
06001,49053,219,,,,,,
06001,49057,14,,,,,,
06001,50001,3,,,,,,
06001,50023,49,,,,,,
06001,50025,8,,,,,,
06001,51003,88,,,,,,
06001,51013,248,,,,,,
06001,51019,34,,,,,,
06001,51023,72,,,,,,
06001,51041,6,,,,,,
06001,51059,300,,,,,,
06001,51085,69,,,,,,
06001,51087,193,,,,,,
06001,51099,25,,,,,,
06001,51107,23,,,,,,
06001,51121,32,,,,,,
06001,51149,37,,,,,,
06001,51153,11,,,,,,
06001,51199,23,,,,,,
06001,51510,71,,,,,,
06001,51530,10,,,,,,
06001,51540,42,,,,,,
06001,51550,9,,,,,,
06001,51650,38,,,,,,
06001,51700,37,,,,,,
06001,51710,1,,,,,,
06001,51740,8,,,,,,
06001,51760,33,,,,,,
06001,51800,10,,,,,,
06001,51810,127,,,,,,
06001,53001,25,,,,,,
06001,53005,140,,,,,,
06001,53009,51,,,,,,
06001,53011,207,,,,,,
06001,53015,73,,,,,,
06001,53029,27,,,,,,
06001,53031,56,,,,,,
06001,53033,"2,634",,,,,,
06001,53035,37,,,,,,
06001,53037,40,,,,,,
06001,53049,47,,,,,,
06001,53053,292,,,,,,
06001,53055,24,,,,,,
